feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
10.0,-4.383665681258778,-1.350356549948763,0.0,-2.690794883971947,5.942222098772452,-3.0,-1.0596977611367187
10.0,-4.584882512681578,-0.28903734143103565,2.0,-2.024962791151267,2.8667828451557584,-3.0,-0.43617740634276114
11.0,-5.040659469068747,-1.5848398419999226,2.0,-1.9855865023644428,5.857694779866734,-3.0,0.18678149477248313
12.0,-5.364463450960712,-0.6159230592780806,6.0,-1.6218957233252755,4.71953113057793,-2.0,1.5955367843969868
10.0,-4.666908730553466,-3.7872293339075713,4.0,-3.093486690624661,5.848949253037257,-2.0,-0.32473058667754845
10.0,-4.740630551778614,0.42658741474587714,1.0,-1.5259461809221355,5.932318030825795,-2.0,0.05038939147874962
12.0,-4.57642900165687,0.0024109507244484737,4.0,-4.163513305282221,6.929498073342989,-3.0,1.533476140917435
11.0,-4.801033296798638,-1.6341772621363813,1.0,-2.503907641891048,6.624144377145444,-2.0,0.05003738508955405
10.0,-4.38993621755362,1.3184913368648101,5.0,-2.390619073961236,6.615885995132356,-3.0,0.5315032107422718
11.0,-5.3302395471234,1.8751402752531168,2.0,-1.4933385391430092,6.732404382999486,-2.0,2.572161985017078
10.0,-4.345695788211451,-3.2151197287379483,3.0,-1.9818953178585046,5.349654781779135,-3.0,-0.9402537172901282
10.0,-4.867795213145811,-1.5254495571324285,5.0,-3.1244504430850295,5.038622104444207,-3.0,-0.7081528846050891
10.0,-3.947436892269163,-1.5382846995745965,1.0,-2.787994500653612,6.047380499814001,-3.0,-1.925658321587488
8.0,-5.262739345608683,-1.8798062022177293,1.0,-1.8410559923620744,5.878497141719627,-3.0,-0.4955049615026931
8.0,-4.096184314761165,1.658949683863497,2.0,-2.0632538734916452,4.629120515914088,-3.0,0.4228605473218224
9.0,-4.965478384049935,-0.38765227754560705,5.0,-2.463299287708597,5.485788090569922,-2.0,-0.518438919819085
9.0,-5.162732773568969,-0.5290296826212215,1.0,-2.3846670316095837,4.957884239858487,-4.0,-0.5256033052273786
10.0,-5.227405009753524,-4.007724728813507,-1.0,-1.4430656022725687,3.975280509847933,-4.0,0.12572777878004332
